participant_id,group,timestamp,test_with_ai,used_ai_help,age_group,employment_status,is_it_field,programming_knowledge,mental_effort,frustration,nps_score,raw_data_json
P001,B,2026-01-20T18:36:52.500Z,0,0,18_24,student,ja,4,2,3,8,"{""npsScore"":8,""selfEfficacy"":{""self_eff_1"":5,""self_eff_3"":7,""self_eff_2"":6},""ueqValues"":{""ueq_7"":6,""ueq_5"":6,""ueq_4"":7,""ueq_8"":7,""ueq_6"":7,""ueq_3"":7,""ueq_1"":7,""ueq_2"":6},""frustration"":3,""locale"":""en"",""aiUsefulness"":{""ai_useful_3"":6,""ai_useful_1"":2,""ai_useful_2"":6},""susValues"":{""sus_7"":5,""sus_2"":2,""sus_8"":2,""sus_1"":4,""sus_5"":4,""sus_3"":4,""sus_4"":1,""sus_10"":1,""sus_9"":4,""sus_6"":1},""ageGroup"":""18_24"",""isITField"":""ja"",""employmentStatus"":""student"",""aiGroupEnabled"":true,""programmingKnowledge"":4,""aiTrust"":{""ai_trust_1"":5,""ai_trust_2"":6,""ai_trust_3"":6},""openFeedback"":""The task in the last panel (Task 12) is easily missed"",""mentalEffort"":2}"
P003,A,2025-12-28T16:53:03.523Z,0,0,18_24,student,ja,2,1,10,7,"{""npsScore"":7,""selfEfficacy"":{""self_eff_1"":6,""self_eff_3"":6,""self_eff_2"":5},""frustration"":10,""ueqValues"":{""ueq_8"":4,""ueq_5"":4,""ueq_7"":4,""ueq_4"":6,""ueq_3"":5,""ueq_1"":3,""ueq_2"":6,""ueq_6"":6},""locale"":""de"",""ageGroup"":""18_24"",""susValues"":{""sus_5"":2,""sus_3"":5,""sus_4"":2,""sus_9"":4,""sus_10"":1,""sus_6"":3,""sus_7"":5,""sus_8"":2,""sus_2"":3,""sus_1"":3},""isITField"":""ja"",""employmentStatus"":""student"",""aiGroupEnabled"":false,""programmingKnowledge"":2,""openFeedback"":""Ich finde die grundsätzliche Idee hinter dem Konzept sehr gelungen, habe jedoch das Gefühl, dass sie an einigen Stellen nicht optimal greift. Statt einer allgemeinen Nutzung der KI würde ich mir wünschen, dass sie gezielt auf Fehlausgaben reagiert: Die KI sollte analysieren, was der User konkret falsch gemacht hat, sich diese Fehler merken und darauf aufbauend passende, individualisierte Aufgaben bereitstellen. Dabei wäre eine präzisere Erklärung des jeweiligen Fehlers sehr hilfreich.\n\nZudem fände ich es wichtig, dass die Nutzung der KI optional bleibt und man nicht dazu gezwungen wird, sie zu verwenden, wenn man die Inhalte bereits sicher beherrscht.\n\nEin konkretes Beispiel aus meiner Erfahrung: Bei IF-ELSE-Strukturen habe ich häufig den Fehler gemacht, ein „:“ zu verwenden. Hier hätte ich mir gewünscht, dass die KI genau auf diese Stelle hinweist, den Fehler erklärt und mir anschließend gezielt eine neue Aufgabe zu IF-ELSE gibt. Danach sollte erneut überprüft werden, ob ich denselben Fehler wieder mache oder ob ich ihn inzwischen verstanden habe.\n\nInsgesamt halte ich die Idee für sehr stark, insbesondere den Ansatz einer KI, die sich auf dem gleichen Wissensstand wie der User befindet. Eine KI, die erkennt, was man bereits gelernt hat, und nur Aufgaben stellt, die mit dem aktuellen Wissensstand lösbar sind, wäre aus meiner Sicht besonders sinnvoll und lernfördernd."",""mentalEffort"":1}"
P004,A,2026-01-20T10:55:15.165Z,0,0,25_34,berufstaetig,ja,4,1,0,1,"{""programmingKnowledge"":4,""openFeedback"":""The Notification Button blocks the next exercise button"",""mentalEffort"":1,""isITField"":""ja"",""employmentStatus"":""berufstaetig"",""aiGroupEnabled"":false,""locale"":""en"",""susValues"":{""sus_1"":1,""sus_7"":2,""sus_8"":1,""sus_2"":1,""sus_4"":1,""sus_9"":4,""sus_10"":1,""sus_6"":1,""sus_5"":4,""sus_3"":5},""ageGroup"":""25_34"",""npsScore"":1,""selfEfficacy"":{""self_eff_1"":7,""self_eff_3"":7,""self_eff_2"":7},""ueqValues"":{""ueq_1"":5,""ueq_2"":5,""ueq_3"":5,""ueq_6"":2,""ueq_8"":2,""ueq_4"":5,""ueq_7"":2,""ueq_5"":3},""frustration"":0}"
P008,A,2025-12-09T10:13:19.785Z,0,0,45_54,sonstiges,ja,5,1,10,9,"{""isITField"":""ja"",""employmentStatus"":""sonstiges"",""aiGroupEnabled"":false,""programmingKnowledge"":5,""openFeedback"":"""",""mentalEffort"":1,""npsScore"":9,""selfEfficacy"":{""self_eff_1"":7,""self_eff_3"":7,""self_eff_2"":7},""ueqValues"":{""ueq_4"":7,""ueq_5"":6,""ueq_7"":5,""ueq_8"":7,""ueq_6"":6,""ueq_2"":6,""ueq_1"":6,""ueq_3"":6},""frustration"":10,""locale"":""en"",""susValues"":{""sus_2"":1,""sus_8"":1,""sus_7"":4,""sus_1"":4,""sus_3"":5,""sus_5"":4,""sus_6"":1,""sus_4"":1,""sus_9"":5,""sus_10"":1},""ageGroup"":""45_54""}"
P009,B,2025-12-26T10:33:11.229Z,0,0,under_18,schueler,nein,3,2,0,10,"{""openFeedback"":""Zwischendurch hat die KI eine ewas komische Antwort auf eine Programmier Farge gegeben, da hätte es eine einfachere Lösung gegeben.\nAnsonsten hat der Kurs mir sehr gefallen und ich hatte sehr viel Spaß beim Programmieren."",""mentalEffort"":2,""programmingKnowledge"":3,""aiTrust"":{""ai_trust_3"":4,""ai_trust_2"":7,""ai_trust_1"":6},""employmentStatus"":""schueler"",""aiGroupEnabled"":true,""isITField"":""nein"",""aiUsefulness"":{""ai_useful_3"":5,""ai_useful_1"":4,""ai_useful_2"":6},""susValues"":{""sus_1"":5,""sus_7"":4,""sus_2"":1,""sus_8"":1,""sus_4"":1,""sus_9"":5,""sus_10"":1,""sus_6"":1,""sus_5"":5,""sus_3"":5},""ageGroup"":""under_18"",""locale"":""de"",""ueqValues"":{""ueq_6"":6,""ueq_2"":6,""ueq_1"":6,""ueq_3"":6,""ueq_4"":7,""ueq_5"":6,""ueq_7"":6,""ueq_8"":7},""frustration"":0,""npsScore"":10,""selfEfficacy"":{""self_eff_1"":6,""self_eff_3"":7,""self_eff_2"":6}}"
P010,B,2025-12-20T15:51:01.989Z,0,0,18_24,student,nein,2,3,12,7,"{""locale"":""de"",""aiUsefulness"":{""ai_useful_2"":1,""ai_useful_1"":1,""ai_useful_3"":1},""susValues"":{""sus_8"":2,""sus_2"":1,""sus_7"":3,""sus_1"":2,""sus_3"":4,""sus_5"":4,""sus_6"":2,""sus_9"":4,""sus_10"":1,""sus_4"":3},""ageGroup"":""18_24"",""selfEfficacy"":{""self_eff_1"":1,""self_eff_3"":2,""self_eff_2"":2},""npsScore"":7,""ueqValues"":{""ueq_1"":6,""ueq_2"":6,""ueq_3"":6,""ueq_6"":5,""ueq_8"":6,""ueq_4"":6,""ueq_5"":5,""ueq_7"":4},""frustration"":12,""aiTrust"":{""ai_trust_1"":5,""ai_trust_2"":6,""ai_trust_3"":1},""programmingKnowledge"":2,""mentalEffort"":3,""openFeedback"":""Niedrig schwellige Erklärungen waren gut!\nHabe einmal Probleme gehabt, als ich die voreingestellten Texte (z.B. Dein BMI-Rechner) gelöscht habe und nur den in der Aufgabe gestellten Auftrag gelöst habe. Da wurde das Ergebnis als nicht erwartet akzeptiert und ich konnte nicht weitermachen. "",""isITField"":""nein"",""aiGroupEnabled"":true,""employmentStatus"":""student""}"
P011,B,2026-01-11T18:00:57.499Z,0,0,18_24,student,nein,1,6,33,10,"{""ueqValues"":{""ueq_8"":7,""ueq_5"":7,""ueq_7"":7,""ueq_4"":5,""ueq_3"":6,""ueq_2"":2,""ueq_1"":7,""ueq_6"":7},""frustration"":33,""selfEfficacy"":{""self_eff_1"":1,""self_eff_3"":6,""self_eff_2"":3},""npsScore"":10,""susValues"":{""sus_6"":1,""sus_4"":2,""sus_9"":4,""sus_10"":1,""sus_3"":4,""sus_5"":5,""sus_1"":5,""sus_8"":1,""sus_2"":1,""sus_7"":4},""aiUsefulness"":{""ai_useful_3"":6,""ai_useful_1"":5,""ai_useful_2"":5},""ageGroup"":""18_24"",""locale"":""de"",""aiGroupEnabled"":true,""employmentStatus"":""student"",""isITField"":""nein"",""mentalEffort"":6,""openFeedback"":""Bei einer Aufgabe dachte ich, dass ich die Variable weight/height in Gewicht/Größe ändern müsste. Die Aufgabenstellung hätte vielleicht etwas anders formuliert werden müssen\n\nIch fand die Erklärungen an der Seite zu den Aufgaben sehr gut und bin damit gut zurecht gekommen.\nIch habe gar keine Erfahrungen mit Programmierung und für mich war es das erste Mal damit zu arbeiten. Ich war überrascht wie gut dies mit Hilfe des Programms funktioniert hat und mir hat es sogar richtig Spaß gemacht."",""aiTrust"":{""ai_trust_3"":7,""ai_trust_2"":2,""ai_trust_1"":7},""programmingKnowledge"":1}"
P012,A,2026-01-09T11:48:02.193Z,0,0,18_24,student,nein,2,4,15,10,"{""openFeedback"":""Die Übungsaufgaben waren verständlich dargestellt und sie waren dementsprechend gut zu bearbeiten. Die Drill-Tasks haben oft das Thema zur Aufgabe verfehlt, beispielsweise wurde im achten Schritt gefordert \""Willkommen\"" mithilfe der print-Funktion auszugeben. Vielleicht hätten \""Standard-Programmier-Begriffe\"" besser erklärt werden können, wie beispielsweise was es überhaupt bedeutet wenn die Konsole etwas ausgibt. Ansonsten ein sehr informativer Kurs, ich habe viel gelernt!"",""mentalEffort"":4,""programmingKnowledge"":2,""employmentStatus"":""student"",""aiGroupEnabled"":false,""isITField"":""nein"",""susValues"":{""sus_7"":4,""sus_8"":1,""sus_2"":2,""sus_1"":4,""sus_5"":5,""sus_3"":4,""sus_4"":1,""sus_9"":5,""sus_10"":1,""sus_6"":1},""ageGroup"":""18_24"",""locale"":""de"",""ueqValues"":{""ueq_8"":6,""ueq_7"":4,""ueq_5"":6,""ueq_4"":5,""ueq_3"":6,""ueq_1"":7,""ueq_2"":5,""ueq_6"":6},""frustration"":15,""npsScore"":10,""selfEfficacy"":{""self_eff_1"":2,""self_eff_2"":3,""self_eff_3"":3}}"
P015,B,2025-12-21T13:04:33.819Z,0,0,25_34,berufstaetig,ja,3,5,10,10,"{""selfEfficacy"":{""self_eff_1"":6,""self_eff_3"":7,""self_eff_2"":6},""npsScore"":10,""ueqValues"":{""ueq_8"":6,""ueq_7"":7,""ueq_5"":6,""ueq_4"":7,""ueq_3"":7,""ueq_2"":7,""ueq_1"":7,""ueq_6"":7},""frustration"":10,""locale"":""de"",""susValues"":{""sus_1"":5,""sus_7"":5,""sus_8"":1,""sus_2"":1,""sus_10"":2,""sus_9"":5,""sus_4"":1,""sus_6"":2,""sus_5"":5,""sus_3"":5},""aiUsefulness"":{""ai_useful_2"":7,""ai_useful_1"":4,""ai_useful_3"":7},""ageGroup"":""25_34"",""isITField"":""ja"",""aiGroupEnabled"":true,""employmentStatus"":""berufstaetig"",""aiTrust"":{""ai_trust_2"":1,""ai_trust_1"":6,""ai_trust_3"":7},""programmingKnowledge"":3,""mentalEffort"":5,""openFeedback"":""Bei der letzten Aufgabe zum Zinsrechner war nicht klar, dass die Ausgabe \""True\"" gewünscht war. Ich habe das nur durch ausprobieren gelöst.\nDie KI hat mir persönlich geholfen alternative Lösungswege zu erforschen und Rückfragen zum Python Syntax zu stellen, die nicht vollumfänglich durch die Aufgaben abgedeckt werden konnten.""}"
P017,A,2026-01-21T10:10:58.603Z,0,0,35_44,berufstaetig,ja,5,1,0,7,"{""ueqValues"":{""ueq_6"":6,""ueq_3"":5,""ueq_1"":7,""ueq_2"":6,""ueq_7"":6,""ueq_5"":6,""ueq_4"":7,""ueq_8"":6},""frustration"":0,""selfEfficacy"":{""self_eff_1"":7,""self_eff_3"":7,""self_eff_2"":6},""npsScore"":7,""susValues"":{""sus_3"":5,""sus_5"":4,""sus_6"":2,""sus_10"":1,""sus_9"":4,""sus_4"":1,""sus_2"":1,""sus_8"":2,""sus_7"":5,""sus_1"":4},""ageGroup"":""35_44"",""locale"":""en"",""aiGroupEnabled"":false,""employmentStatus"":""berufstaetig"",""isITField"":""ja"",""mentalEffort"":1,""openFeedback"":""Nothing to add"",""programmingKnowledge"":5}"
