participant_id,group,course_id,step_number,step_started_at,step_completed_at,time_on_task_seconds,attempts_code_runs,python_errors,progress_errors,help_requests,avg_hint_level,solved
P001,B,bmi-calculator,1,2026-01-19T09:08:14.874Z,2026-01-19T09:08:46.856Z,33,1,0,0,0,0,1
P001,B,bmi-calculator,2,2026-01-19T09:09:14.669Z,2026-01-19T09:09:40.671Z,27,1,0,0,0,0,1
P001,B,bmi-calculator,3,2026-01-19T09:10:28.523Z,2026-01-19T09:11:01.180Z,33,1,0,0,0,0,1
P001,B,bmi-calculator,4,2026-01-19T09:11:37.275Z,2026-01-19T09:12:14.288Z,38,2,0,0,0,0,1
P001,B,bmi-calculator,5,2026-01-19T09:12:53.268Z,2026-01-19T09:14:08.629Z,76,2,1,0,0,0,1
P001,B,bmi-calculator,6,2026-01-19T09:14:52.602Z,2026-01-19T09:34:40.635Z,1189,20,1,0,5,3,1
P001,B,bmi-calculator,7,2026-01-19T09:35:48.157Z,2026-01-19T09:36:50.738Z,63,3,2,0,0,0,1
P001,B,bmi-calculator,8,2026-01-19T09:37:42.603Z,2026-01-19T09:39:00.650Z,79,2,1,0,0,0,1
P001,B,bmi-calculator,9,2026-01-19T09:39:50.456Z,2026-01-19T09:41:13.884Z,84,1,0,0,0,0,1
P001,B,bmi-calculator,10,2026-01-20T18:27:23.559Z,2026-01-19T09:43:47.945Z,85,1,0,0,0,0,1
P001,B,bmi-calculator,11,2026-01-20T18:27:25.001Z,2026-01-20T18:28:47.530Z,167,4,0,0,0,0,1
P001,B,bmi-calculator,12,2026-01-20T18:28:49.125Z,2026-01-20T18:29:32.311Z,44,5,0,0,0,0,1
P003,A,bmi-calculator,1,2025-12-23T15:58:16.132Z,2025-12-23T16:00:21.387Z,126,1,0,0,0,0,1
P003,A,bmi-calculator,2,2025-12-23T16:01:38.388Z,2025-12-23T16:01:58.672Z,40,1,0,0,0,0,1
P003,A,bmi-calculator,3,2025-12-23T16:02:57.021Z,2025-12-23T16:03:52.999Z,75,1,0,0,0,0,1
P003,A,bmi-calculator,4,2025-12-23T16:06:23.441Z,2025-12-23T16:06:47.556Z,43,1,0,0,0,0,1
P003,A,bmi-calculator,5,2025-12-23T16:09:33.287Z,2025-12-23T16:10:50.549Z,97,1,0,0,0,0,1
P003,A,bmi-calculator,6,2025-12-23T16:11:54.668Z,2025-12-23T16:12:47.892Z,73,1,0,0,0,0,1
P003,A,bmi-calculator,7,2025-12-23T16:13:58.246Z,2025-12-23T16:15:15.153Z,96,5,2,0,0,0,1
P003,A,bmi-calculator,8,2025-12-23T16:16:50.948Z,2025-12-23T16:18:12.193Z,101,2,1,0,0,0,1
P003,A,bmi-calculator,9,2025-12-23T16:19:29.372Z,2025-12-23T16:22:05.729Z,176,2,1,0,0,0,1
P003,A,bmi-calculator,10,2025-12-23T16:23:51.174Z,2025-12-23T16:26:03.190Z,151,1,0,0,0,0,1
P003,A,bmi-calculator,11,2025-12-23T16:27:28.711Z,2025-12-23T16:28:38.136Z,90,2,0,0,0,0,1
P003,A,bmi-calculator,12,2025-12-23T16:29:48.557Z,2025-12-23T16:30:34.543Z,66,1,0,0,0,0,1
