participant_id,group,drill_type,attempts,solved,attempt_bin
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,1,True,1. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,1,True,1. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,2,True,2. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,1,True,1. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,1,True,1. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,4,True,4+ Versuche
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,1,True,1. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,2,True,2. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,2,True,2. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,1,True,1. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,2,True,2. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,1,True,1. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,1,True,1. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,1,True,1. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,3,True,3. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,2,True,2. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,1,True,1. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,1,True,1. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,3,True,3. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,1,True,1. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,2,True,2. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,1,True,1. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,1,True,1. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,2,True,2. Versuch
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,1,True,1. Versuch
