group,drill_id,count
A,code-datentypen-11,12
A,code-print-8,12
A,code-print-1,11
A,code-datentypen-2,10
A,code-datentypen-3,10
A,code-print-3,10
A,code-print-5,10
A,code-strings-6,10
A,code-bedingungen-1,8
A,code-print-2,8
A,code-print-9,8
A,code-strings-3,8
A,code-strings-4,8
A,code-variablen-5,8
A,mcq-datentypen-7,8
A,code-bedingungen-2,6
A,code-bedingungen-4,6
A,code-datentypen-4,6
A,code-print-7,6
A,code-strings-5,6
A,code-variablen-4,6
A,mcq-bedingungen-4,6
A,mcq-print-1,6
A,mcq-print-16,6
A,mcq-print-21,6
A,mcq-print-24,6
A,mcq-print-9,6
A,mcq-strings-9,6
A,mcq-print-2,5
A,code-bedingungen-3,4
A,code-bedingungen-5,4
A,code-bedingungen-6,4
A,code-variablen-1,4
A,code-variablen-2,4
A,mcq-bedingungen-1,4
A,mcq-bedingungen-11,4
A,mcq-bedingungen-25,4
A,mcq-bedingungen-6,4
A,mcq-bedingungen-7,4
A,mcq-datentypen-1,4
A,mcq-datentypen-12,4
A,mcq-datentypen-2,4
A,mcq-datentypen-3,4
A,mcq-datentypen-5,4
A,mcq-print-12,4
A,mcq-print-13,4
A,mcq-print-18,4
A,mcq-print-19,4
A,mcq-print-25,4
A,mcq-print-6,4
A,mcq-print-8,4
A,mcq-strings-16,4
A,mcq-strings-4,4
A,mcq-variablen-1,4
A,mcq-variablen-14,4
A,mcq-variablen-2,4
A,mcq-variablen-7,4
A,code-print-4,3
A,code-datentypen-5,2
A,code-listen-2,2
A,code-schleifen-1,2
A,code-schleifen-3,2
A,code-schleifen-4,2
A,code-strings-7,2
A,code-strings-8,2
A,code-variablen-6,2
A,mcq-bedingungen-10,2
A,mcq-bedingungen-15,2
A,mcq-bedingungen-19,2
A,mcq-bedingungen-21,2
A,mcq-bedingungen-22,2
A,mcq-bedingungen-24,2
A,mcq-bedingungen-26,2
A,mcq-bedingungen-5,2
A,mcq-bedingungen-9,2
A,mcq-datentypen-6,2
A,mcq-listen-8,2
A,mcq-print-10,2
A,mcq-print-14,2
A,mcq-print-23,2
A,mcq-print-3,2
A,mcq-print-4,2
A,mcq-schleifen-1,2
A,mcq-schleifen-2,2
A,mcq-schleifen-9,2
A,mcq-strings-1,2
A,mcq-strings-11,2
A,mcq-strings-19,2
A,mcq-strings-3,2
A,mcq-strings-5,2
A,mcq-strings-7,2
A,mcq-strings-8,2
A,mcq-variablen-22,2
A,mcq-variablen-3,2
A,mcq-variablen-5,2
A,mcq-variablen-8,2
A,mcq-print-11,1
B,code-print-1,9
B,code-strings-4,9
B,code-variablen-1,9
B,mcq-print-1,9
B,mcq-variablen-1,9
B,code-bedingungen-2,8
B,code-bedingungen-5,8
B,code-datentypen-2,8
B,code-variablen-2,8
B,mcq-bedingungen-1,8
B,code-bedingungen-3,7
B,code-bedingungen-4,7
B,code-bedingungen-6,7
B,mcq-bedingungen-9,7
B,mcq-datentypen-1,7
B,code-print-2,6
B,mcq-bedingungen-13,6
B,mcq-print-2,6
B,mcq-bedingungen-15,5
B,mcq-strings-1,5
B,mcq-variablen-2,5
B,mcq-variablen-5,4
B,code-bedingungen-1,3
B,code-strings-5,3
B,code-strings-6,3
B,code-variablen-5,3
B,mcq-bedingungen-2,3
B,mcq-strings-6,3
B,mcq-variablen-19,3
B,code-datentypen-5,2
B,code-print-3,2
B,code-strings-7,2
B,code-variablen-4,2
B,mcq-bedingungen-10,2
B,mcq-bedingungen-12,2
B,mcq-bedingungen-14,2
B,mcq-bedingungen-19,2
B,mcq-bedingungen-3,2
B,mcq-bedingungen-4,2
B,mcq-print-4,2
B,mcq-strings-10,2
B,mcq-strings-4,2
B,mcq-strings-9,2
B,mcq-variablen-7,2
B,code-listen-1,1
B,code-listen-3,1
B,code-listen-4,1
B,code-schleifen-1,1
B,code-schleifen-2,1
B,code-schleifen-3,1
B,code-variablen-6,1
B,mcq-bedingungen-21,1
B,mcq-datentypen-6,1
B,mcq-datentypen-8,1
B,mcq-listen-5,1
B,mcq-schleifen-1,1
B,mcq-schleifen-3,1
B,mcq-schleifen-6,1
B,mcq-strings-3,1
B,mcq-strings-8,1
B,mcq-variablen-24,1
B,mcq-variablen-3,1
